epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,11038,1.29817,0.96177,1.30181,0.70693,0.72635,0.74383,0.45353,1.16174,0.76525,1.21597,0.0001931,0.0001931,0.0001931
64,11200.3,1.28169,0.95359,1.29239,0.7024,0.74247,0.75382,0.46164,1.1579,0.75477,1.21343,0.00018815,0.00018815,0.00018815
65,11368.1,1.30669,0.95658,1.30224,0.72509,0.72037,0.74806,0.45608,1.16063,0.76515,1.21596,0.0001832,0.0001832,0.0001832
66,11538.2,1.28632,0.93803,1.29081,0.72519,0.73897,0.76406,0.46448,1.16403,0.74494,1.21618,0.00017825,0.00017825,0.00017825
67,11712.9,1.28023,0.94057,1.29374,0.7397,0.72796,0.7542,0.45952,1.16725,0.74754,1.21477,0.0001733,0.0001733,0.0001733
68,11892.8,1.27283,0.92981,1.28921,0.74645,0.72713,0.76902,0.46485,1.15841,0.73025,1.21287,0.00016835,0.00016835,0.00016835
69,12073.7,1.28733,0.935,1.2912,0.74348,0.7332,0.76313,0.46488,1.1579,0.73703,1.21436,0.0001634,0.0001634,0.0001634
70,12241.3,1.27131,0.92473,1.28044,0.70709,0.75359,0.76115,0.46514,1.14885,0.73388,1.20819,0.00015845,0.00015845,0.00015845
71,12397.3,1.27091,0.92044,1.28097,0.71848,0.73667,0.7646,0.46859,1.14705,0.73867,1.20433,0.0001535,0.0001535,0.0001535
72,12550.4,1.27359,0.92352,1.28433,0.73156,0.748,0.76308,0.4675,1.14518,0.74345,1.20629,0.00014855,0.00014855,0.00014855
73,12702,1.25835,0.91249,1.27436,0.72573,0.75764,0.76442,0.46353,1.15184,0.74559,1.21112,0.0001436,0.0001436,0.0001436
74,12853.3,1.26675,0.92325,1.27486,0.75438,0.75162,0.76751,0.46564,1.15042,0.74259,1.20944,0.00013865,0.00013865,0.00013865
75,13006.6,1.26908,0.91489,1.28261,0.73677,0.75011,0.77091,0.47318,1.14958,0.73804,1.21049,0.0001337,0.0001337,0.0001337
76,13162.4,1.25087,0.90451,1.27699,0.73386,0.73171,0.7667,0.47275,1.14082,0.73767,1.20975,0.00012875,0.00012875,0.00012875
77,13332.5,1.25537,0.90674,1.27385,0.74229,0.74265,0.76562,0.46881,1.14784,0.73801,1.21247,0.0001238,0.0001238,0.0001238
78,13512.1,1.25396,0.89507,1.26991,0.72205,0.76318,0.76497,0.47189,1.14521,0.73081,1.20651,0.00011885,0.00011885,0.00011885
79,13687.5,1.24924,0.89784,1.27105,0.73946,0.75447,0.77155,0.47395,1.14665,0.7285,1.20739,0.0001139,0.0001139,0.0001139
80,13861.8,1.24938,0.905,1.27139,0.72532,0.7615,0.76883,0.47179,1.14788,0.72936,1.20394,0.00010895,0.00010895,0.00010895
81,14041.1,1.23769,0.89217,1.26091,0.74419,0.75576,0.77448,0.47018,1.14774,0.72631,1.20046,0.000104,0.000104,0.000104
82,14208.6,1.2446,0.89993,1.26541,0.73408,0.75894,0.77201,0.46636,1.15001,0.73149,1.20705,9.905e-05,9.905e-05,9.905e-05
83,14376.7,1.2376,0.88999,1.26427,0.73108,0.76359,0.77269,0.46882,1.14898,0.72588,1.2063,9.41e-05,9.41e-05,9.41e-05
84,14553.1,1.24001,0.88338,1.26481,0.72788,0.74999,0.77098,0.47035,1.14906,0.73043,1.20658,8.915e-05,8.915e-05,8.915e-05
85,14726.1,1.2224,0.87963,1.25549,0.73959,0.73976,0.7688,0.46897,1.14999,0.73261,1.20625,8.42e-05,8.42e-05,8.42e-05
86,14907.4,1.23602,0.88469,1.26055,0.74588,0.73835,0.76174,0.46719,1.14911,0.73706,1.20441,7.925e-05,7.925e-05,7.925e-05
87,15077.7,1.2194,0.87524,1.25535,0.7401,0.76001,0.77045,0.46924,1.14602,0.7253,1.20473,7.43e-05,7.43e-05,7.43e-05
88,15246.8,1.22765,0.87198,1.25105,0.7478,0.75528,0.77121,0.46808,1.14652,0.72612,1.20512,6.935e-05,6.935e-05,6.935e-05
89,15414.4,1.22579,0.8726,1.25398,0.74463,0.75051,0.76941,0.46626,1.14624,0.73001,1.2064,6.44e-05,6.44e-05,6.44e-05
90,15606.2,1.22164,0.87163,1.25359,0.73732,0.74558,0.7663,0.46679,1.14546,0.72933,1.20669,5.945e-05,5.945e-05,5.945e-05
91,15953.4,1.11595,0.6513,1.19073,0.73641,0.7347,0.7657,0.46822,1.14961,0.72794,1.20871,5.45e-05,5.45e-05,5.45e-05
92,16125.9,1.1082,0.63728,1.18575,0.7331,0.74847,0.76628,0.46833,1.15192,0.725,1.20983,4.955e-05,4.955e-05,4.955e-05
93,16297,1.09894,0.62353,1.18254,0.74571,0.74234,0.77299,0.47009,1.15249,0.72565,1.21095,4.46e-05,4.46e-05,4.46e-05
94,16464.3,1.10093,0.62819,1.18937,0.73198,0.74454,0.77202,0.47012,1.1531,0.72194,1.21091,3.965e-05,3.965e-05,3.965e-05
95,16644.3,1.0917,0.62036,1.18104,0.72718,0.75609,0.77117,0.46992,1.15276,0.72231,1.21084,3.47e-05,3.47e-05,3.47e-05
96,16827.8,1.08123,0.60966,1.17237,0.7464,0.73252,0.77154,0.4688,1.15317,0.72011,1.21097,2.975e-05,2.975e-05,2.975e-05
97,16993.3,1.07683,0.60487,1.16695,0.72597,0.75975,0.77121,0.46741,1.1536,0.72045,1.21184,2.48e-05,2.48e-05,2.48e-05
98,17163.6,1.07815,0.60305,1.16919,0.74413,0.73634,0.77176,0.46806,1.15375,0.7193,1.21307,1.985e-05,1.985e-05,1.985e-05
99,17375.1,1.07201,0.60007,1.16622,0.74749,0.73603,0.77216,0.46748,1.15292,0.71827,1.21305,1.49e-05,1.49e-05,1.49e-05
100,17559.8,1.06675,0.60248,1.1649,0.75049,0.73562,0.77035,0.46691,1.15234,0.71864,1.21316,9.95e-06,9.95e-06,9.95e-06
